Text,Label
"Exclusive offer! Get 50% off on all products today.",1
"Your Amazon order has been confirmed. Click to track.",1
"Meeting at 3 PM in the conference room.",0
"Claim your prize! You've won a luxury vacation.",1
"Limited-time discount on the latest tech gadgets.",1
"Reminder: Parent-teacher meeting tomorrow at 6 PM.",0
"Click here to unsubscribe from our mailing list.",1
"Important update: New security features added to your account.",0
"Flash sale! Buy one, get one free on selected items.",1
"Your package is out for delivery. Track your order here.",0
"Unlock exclusive access to premium content.",1
"Congratulations! You've been selected for a survey.",1
"Your monthly newsletter is here. Check out the latest news.",0
"Special offer for our valued customers. Don't miss out!",1
"Verify your email to secure your account.",1
"Exciting news! Our biggest sale of the year starts now.",1
"Appointment reminder: Dentist visit on Monday at 11 AM.",0
"Limited stock! Grab the hottest deals before they're gone.",1
"Thank you for your purchase. Review your experience with us.",0
"Your account has been credited with bonus points.",1
"Urgent: Reactivate your account now to avoid suspension.",1
"Join us for a free webinar on the latest industry trends.",0
"Unlock the secrets to a healthier lifestyle. Subscribe now!",1
"Important notice: Payment confirmation for your order.",0
"Biggest clearance sale ever! Save up to 70%.",1
"Your subscription has expired. Renew now for exclusive benefits.",1
"Invitation: Annual company picnic this Saturday.",0
"Confirm your attendance at the upcoming event.",0
"Claim your free trial of the latest software.",1
"Newsletter: Stay informed about upcoming events and promotions.",0
"Hurry! Limited-time offer on premium memberships.",1
"Security alert: Unusual activity detected on your account.",1
"Exclusive sneak peek: New product launch next week.",1
"Your opinion matters! Participate in our customer satisfaction survey.",1
"Upgrade your account to enjoy premium features.",1
"Appointment confirmed: Doctor's visit on Friday at 2 PM.",0
"Final reminder: Your payment is due tomorrow.",1
"Unlock a world of possibilities with our premium subscription.",1
"Important update: Changes to our privacy policy.",1
"Special discount for loyal customers. Use code LOYALTY10.",1
"Newsletter: Read the latest articles from our blog.",0
"Flash sale alert! Shop now for unbeatable prices.",1
"Thank you for signing up. Enjoy your free trial.",0
"Join us for the grand opening of our new store.",0
"Secure your account: Update your password now.",1
"Exclusive early access to our Black Friday deals.",1
"Important notice: Your account balance is low.",1
"Don't miss out on the biggest event of the year. Reserve your spot now.",1
"Upgrade to premium for an ad-free experience.",1
"Your order is on its way. Track the shipment here.",0
"Claim your reward: You've earned bonus points.",1
"Invitation: Join us for a webinar on productivity tips.",0
"Special offer for our VIP customers. Limited slots available.",1
"Reminder: Parent-teacher conference tomorrow at 4 PM.",0
"Your account has been locked due to suspicious activity.",1
"Exclusive access: Be the first to try our new product.",1
"Flash sale ending soon! Grab your favorite items now.",1
"Thank you for your purchase. Here's a special discount for your next order.",0
"Your monthly subscription is due for renewal.",1
"Unlock premium features with our upgraded subscription plan.",1
"Important update: Changes to our terms and conditions.",1
"Your account has been temporarily suspended. Verify your identity.",1
"Join our loyalty program for exclusive rewards.",1
"Exclusive preview: Sneak peek into our upcoming collection.",1
"Claim your prize: You've won a weekend getaway.",1
"Newsletter: Stay connected with the latest industry trends.",0
"Urgent: Immediate action required to prevent account closure.",1
"Limited-time offer: Buy one, get one 50% off.",1
"Upgrade to VIP status for extra perks and benefits.",1
"Your appointment with the financial advisor is tomorrow at 3 PM.",0
"Special offer for our email subscribers. Use code SUBSCRIBE10.",1
"Unlock premium content with our upgraded membership plan.",1
"Thank you for subscribing to our newsletter. Enjoy exclusive updates.",0
"Flash sale alert! Prices slashed for the next 24 hours.",1
"Your account has been upgraded to premium. Enjoy enhanced features.",0
"Exclusive deal: Buy now and receive a free gift with your purchase.",1
"Claim your discount: Use code SAVE20 at checkout.",1
"Newsletter: Recap of the month's top stories and highlights.",0
"Join us for our annual charity event this weekend.",0
"Upgrade to our platinum membership for VIP treatment.",1
"Important notice: Your account password has been reset.",1
"Thank you for your loyalty. Enjoy a special discount on your next purchase.",0
